"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"cardano","api-stake-key-controller","Get Data For Stake Registration","0","0","12","0","0"
"","","","38","1","122","0","0"
"cardano","api-epoch","GET: Get a epoch detail by its no","0","0","11","0","0"
"cardano","api-block","","0","0","41","0","0"
"cardano","api-addresses","","1","0","36","0","0"
"cardano","api-epoch","GET: Get block list of epoch by its no","0","0","14","0","0"
"cardano","api-epoch","GET: Epoch All List","0","0","15","0","0"
"cardano","api-transactions","Transactions test","9","0","29","0","1"
"cardano","api-pools","","4","0","28","0","0"
"cardano","api-policy_controller","Get a policy detail","0","0","6","0","0"
"cardano","api-delegation","","0","10","18","0","1"
"cardano","api-policy_controller","Get tokens by policies","0","0","18","0","0"
"cardano","api-policy_controller","Get holders by policies","0","0","17","0","0"
"cardano","api-stake-key-controller","Get Data For Stake De Registration","0","0","12","0","0"
"cardano","api-transactions","Transactions Scenario test","0","0","3","0","0"
"cardano","api-stake-key-controller","Get active stake, live stake and total stake","0","0","1","0","0"
"cardano","api-contract","","0","0","9","0","0"
"cardano","api-stake-key-controller","Get Top Delegators","0","0","6","0","0"
"cardano","api-stake-key-controller","StakeKey Scenario","0","0","2","0","0"
"cardano","api-epoch","GET: Get current epoch","0","0","1","0","0"
