"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 16 02:35:32 GMT 2023","Tue May 16 02:35:34 GMT 2023","2209","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithSizeInvalid","verify that get list token with size invalid",""
"broken","Tue May 16 02:35:04 GMT 2023","Tue May 16 02:35:04 GMT 2023","39","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getATokenFail","verify that get a token with tokenId valid | fail",""
"passed","Tue May 16 02:35:00 GMT 2023","Tue May 16 02:35:04 GMT 2023","3822","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getATokenFail","verify that get a token with tokenId valid | fail",""
"passed","Tue May 16 02:35:23 GMT 2023","Tue May 16 02:35:26 GMT 2023","2245","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithPageInvalid","verify that get list token with page invalid",""
"passed","Tue May 16 02:35:17 GMT 2023","Tue May 16 02:35:19 GMT 2023","2068","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenSuccess","verify that get list token successfull",""
"passed","Tue May 16 02:35:28 GMT 2023","Tue May 16 02:35:30 GMT 2023","2148","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithSizeInvalid","verify that get list token with size invalid",""
"passed","Tue May 16 02:35:30 GMT 2023","Tue May 16 02:35:32 GMT 2023","2099","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithSizeInvalid","verify that get list token with size invalid",""
"passed","Tue May 16 02:35:37 GMT 2023","Tue May 16 02:35:39 GMT 2023","2079","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithSortInvalid","verify that get list token with sort invalid",""
"passed","Tue May 16 02:35:21 GMT 2023","Tue May 16 02:35:23 GMT 2023","2270","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithPageInvalid","verify that get list token with page invalid",""
"passed","Tue May 16 02:35:12 GMT 2023","Tue May 16 02:35:15 GMT 2023","2147","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenSuccess","verify that get list token successfull",""
"passed","Tue May 16 02:35:26 GMT 2023","Tue May 16 02:35:28 GMT 2023","2271","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithPageInvalid","verify that get list token with page invalid",""
"passed","Tue May 16 02:35:41 GMT 2023","Tue May 16 02:35:43 GMT 2023","2166","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithSortInvalid","verify that get list token with sort invalid",""
"passed","Tue May 16 02:35:19 GMT 2023","Tue May 16 02:35:21 GMT 2023","2149","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenSuccess","verify that get list token successfull",""
"passed","Tue May 16 02:35:34 GMT 2023","Tue May 16 02:35:37 GMT 2023","2173","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithSortInvalid","verify that get list token with sort invalid",""
"passed","Tue May 16 02:35:39 GMT 2023","Tue May 16 02:35:41 GMT 2023","2077","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenWithSortInvalid","verify that get list token with sort invalid",""
"passed","Tue May 16 02:35:15 GMT 2023","Tue May 16 02:35:17 GMT 2023","2183","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getListTokenSuccess","verify that get list token successfull",""
"passed","Tue May 16 02:35:10 GMT 2023","Tue May 16 02:35:12 GMT 2023","2111","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getATokenSuccess","verify that get a token with tokenId valid | success",""
"passed","Tue May 16 02:35:04 GMT 2023","Tue May 16 02:35:06 GMT 2023","2046","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getATokenFail","verify that get a token with tokenId valid | fail",""
"failed","Tue May 16 02:35:06 GMT 2023","Tue May 16 02:35:08 GMT 2023","2209","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getATokenFail","verify that get a token with tokenId valid | fail",""
"passed","Tue May 16 02:35:08 GMT 2023","Tue May 16 02:35:10 GMT 2023","2077","Setel Regression Suite","Setel Admin test on chrome","tests.TokenTests","tests.TokenTests","getATokenFail","verify that get a token with tokenId valid | fail",""
